drug_claim_name	drug_name	concept_id	drug_claim_source
381118822			GuideToPharmacology
chembl:CHEMBL1086657	CHEMBL1086657	chembl:CHEMBL1086657	ChemblDrugs
GW829906X	GW829906X	chembl:CHEMBL434729	DTC
XP-21279			TTD
Homatropine Methylbromide			TTD
135650674			GuideToPharmacology
178100944			GuideToPharmacology
chembl:CHEMBL537968	CHEMBL537968	chembl:CHEMBL537968	ChemblDrugs
178100755			GuideToPharmacology
Piperidine derivative 5			TTD
chembl:CHEMBL489095	CAMICINAL	chembl:CHEMBL489095	ChemblDrugs
MK-4827	NIRAPARIB	chembl:CHEMBL1094636	TdgClinicalTrial
MESO-HEXESTROL	MESO-HEXESTROL	chembl:CHEMBL9225	DTC
chembl:CHEMBL7010	FENCAMFAMIN	chembl:CHEMBL7010	ChemblDrugs
GNF-PF-134	CHEMBL578896	chembl:CHEMBL578896	DTC
178100653			GuideToPharmacology
piroxicam	PIROXICAM	chembl:CHEMBL527	PharmGKB
chembl:CHEMBL4297188	MIRANSERTIB	chembl:CHEMBL4297188	ChemblDrugs
Ixabepilone	IXABEPILONE	chembl:CHEMBL1201752	TTD
CICLESONIDE	CICLESONIDE	chembl:CHEMBL2040682	TdgClinicalTrial
GANCICLOVIR	GANCICLOVIR	chembl:CHEMBL182	NCI
BIOCHANIN	BIOCHANIN	chembl:CHEMBL131921	DTC
CHEMBL3545193	MSC-2364447	chembl:CHEMBL3545193	ChemblInteractions
CARBOPLATIN	CARBOPLATIN	chembl:CHEMBL1351	DTC
BRYOSTATIN	BRYOSTATIN	chembl:CHEMBL449158	MyCancerGenomeClinicalTrial
REN-1654			TTD
354702227	MOFEGILINE	chembl:CHEMBL489079	GuideToPharmacology
Inotuzumab Ozogamicin			FDA
Atazanavir	ATAZANAVIR	chembl:CHEMBL1163	TTD
chembl:CHEMBL447664	VIPADENANT	chembl:CHEMBL447664	ChemblDrugs
chembl:CHEMBL20210	RUPINTRIVIR	chembl:CHEMBL20210	ChemblDrugs
chembl:CHEMBL277845	CHEMBL277845	chembl:CHEMBL277845	ChemblDrugs
Peptide analog 21			TTD
Quinoline and quinazoline derivative 5			TTD
Saratin			TTD
chembl:CHEMBL383899	ANILINOPYRIMIDINE1	chembl:CHEMBL383899	ChemblDrugs
chembl:CHEMBL573	NIACIN	chembl:CHEMBL573	ChemblDrugs
SAR279356			TTD
4-aminosalicylate sodium (oral controlled release, ulcerative colitis), AGI Therapeutics			TTD
329968434			GuideToPharmacology
4-AMINOBENZAMIDINE DIHYDROCHLORIDE	CHEMBL545184	chembl:CHEMBL545184	DTC
CHLORPROPHAM	CHLORPROPHAM	chembl:CHEMBL104560	DTC
Peptide analog 64			TTD
BENZHYDRYL 4-HYDROXYBENZOATE	CHEMBL2071180	chembl:CHEMBL2071180	DTC
chembl:CHEMBL4298018	LY-3164530	chembl:CHEMBL4298018	ChemblDrugs
chembl:CHEMBL260553	CHEMBL260553	chembl:CHEMBL260553	ChemblDrugs
135650900	RILUZOLE	chembl:CHEMBL744	GuideToPharmacology
DB02527	CYCLIC ADENOSINE MONOPHOSPHATE	chembl:CHEMBL316966	DrugBank
chembl:CHEMBL258721	CHEMBL258721	chembl:CHEMBL258721	ChemblDrugs
XL647	TESEVATINIB	chembl:CHEMBL3544983	TdgClinicalTrial
DB02999	QUISQUALATE	chembl:CHEMBL279956	DrugBank
chembl:CHEMBL101253	VATALANIB	chembl:CHEMBL101253	ChemblDrugs
chembl:CHEMBL184444	CHEMBL184444	chembl:CHEMBL184444	ChemblDrugs
FANG vaccine			TTD
178101143			GuideToPharmacology
CGM097	CGM-097	chembl:CHEMBL3601398	JAX-CKB
ARRY-380	TUCATINIB	chembl:CHEMBL3989868	TdgClinicalTrial
chembl:CHEMBL1201369	9BETA-D-ARABINOFURANOSYLGUANOSINE 5'-TRIPHOSPHATE	chembl:CHEMBL1201369	ChemblDrugs
ONO-7475			TTD
315661312			GuideToPharmacology
chembl:CHEMBL1236602	CHEMBL1236602	chembl:CHEMBL1236602	ChemblDrugs
NSC-28620	CHEMBL1414990	chembl:CHEMBL1414990	DTC
135652091			GuideToPharmacology
135651789			GuideToPharmacology
CHEMBL256087	MENTHOL	chembl:CHEMBL256087	ChemblInteractions
DB15102	PEMIGATINIB	chembl:CHEMBL4297522	DrugBank
METHIXENE HYDROCHLORIDE	METHIXENE HYDROCHLORIDE	chembl:CHEMBL1200426	DTC
DB03311	CHEMBL1232829	chembl:CHEMBL1232829	DrugBank
135650917			GuideToPharmacology
EPIANDROSTERONE	EPIANDROSTERONE	chembl:CHEMBL272195	TTD
CHEMBL1200935	DARIFENACIN HYDROBROMIDE	chembl:CHEMBL1200935	ChemblInteractions
DB04953	EZOGABINE	chembl:CHEMBL41355	DrugBank
UX-001	ACENEURAMIC ACID	chembl:CHEMBL2105945	TTD
CO-1686	ROCILETINIB	chembl:CHEMBL3545308	MyCancerGenome
wikidata:Q419808	SAPROPTERIN	wikidata:Q419808	Wikidata
CB-5083	CB-5083	chembl:CHEMBL3747513	TTD
chembl:CHEMBL299220	CHEMBL299220	chembl:CHEMBL299220	ChemblDrugs
BRYOSTATIN 1			NCI
CHEMBL193	NIFEDIPINE	chembl:CHEMBL193	ChemblInteractions
chembl:CHEMBL591126	CHEMBL591126	chembl:CHEMBL591126	ChemblDrugs
135651124			GuideToPharmacology
GNF-PF-1686	CHEMBL580140	chembl:CHEMBL580140	DTC
178103535	DEXTROMETHORPHAN	chembl:CHEMBL52440	GuideToPharmacology
CHEMBL1767407	DENUFOSOL TETRASODIUM	chembl:CHEMBL1767407	ChemblInteractions
chembl:CHEMBL400875	(S)-ISRADIPINE	chembl:CHEMBL400875	ChemblDrugs
E7046			TTD
VX-661	TEZACAFTOR	chembl:CHEMBL3544914	TTD
178103584			GuideToPharmacology
chembl:CHEMBL1090777	CHEMBL1090777	chembl:CHEMBL1090777	ChemblDrugs
DOVITINIB	DOVITINIB	chembl:CHEMBL522892	CancerCommons
POSIPHEN	PHENSERINE, (+)-	chembl:CHEMBL4297417	TdgClinicalTrial
chembl:CHEMBL189338	CHEMBL189338	chembl:CHEMBL189338	ChemblDrugs
2-(2'-METHOXYPHENYL)-1H-INDOLE	2-(2'-METHOXYPHENYL)-1H-INDOLE	chembl:CHEMBL1449007	DTC
chembl:CHEMBL2107288	TROLAMINE SALICYLATE	chembl:CHEMBL2107288	ChemblDrugs
chembl:CHEMBL17	DICHLORPHENAMIDE	chembl:CHEMBL17	ChemblDrugs
chembl:CHEMBL439759	CHEMBL439759	chembl:CHEMBL439759	ChemblDrugs
chembl:CHEMBL559478	SSR180711	chembl:CHEMBL559478	ChemblDrugs
S-1			NCI
TACI-IG	ATACICEPT	chembl:CHEMBL1742986	TdgClinicalTrial
chembl:CHEMBL410462	CHEMBL410462	chembl:CHEMBL410462	ChemblDrugs
K 252A			CIViC
DB00437	ALLOPURINOL	chembl:CHEMBL1467	DrugBank
ONCOVEX GM-CSF			TdgClinicalTrial
chembl:CHEMBL154709	APOCIDEINE	chembl:CHEMBL154709	ChemblDrugs
CHEMBL1742984	AMATUXIMAB	chembl:CHEMBL1742984	ChemblInteractions
Prevnar			TTD
INDIMITECAN	INDIMITECAN	chembl:CHEMBL1196228	DTC
387065600			GuideToPharmacology
DB04142			DrugBank
MEDI1341			TTD
BYL719	ALPELISIB	chembl:CHEMBL2396661	CGI
chembl:CHEMBL504510	RESVERATROL HEXANOIC ACID	chembl:CHEMBL504510	ChemblDrugs
chembl:CHEMBL514691	CHEMBL514691	chembl:CHEMBL514691	ChemblDrugs
S-49076			JAX-CKB
PMID26815044-Compound-48			TTD
DOCEBENONE	DOCEBENONE	chembl:CHEMBL304818	DTC
chembl:CHEMBL3137317	SONIDEGIB PHOSPHATE	chembl:CHEMBL3137317	ChemblDrugs
CHEMBL2109332	MLNM-2201	chembl:CHEMBL2109332	ChemblInteractions
chembl:CHEMBL559518	CHEMBL559518	chembl:CHEMBL559518	ChemblDrugs
Sonepcizumab	SONEPCIZUMAB	chembl:CHEMBL2109570	TTD
S-1360	S-1360	chembl:CHEMBL218227	TTD
Netarsudil	NETARSUDIL	chembl:CHEMBL3545127	TTD
AFIMOXIFENE	AFIMOXIFENE	chembl:CHEMBL2137046	CIViC
chembl:CHEMBL13960	DICHLOROACETIC ACID	chembl:CHEMBL13960	ChemblDrugs
chembl:CHEMBL2108431	METELIMUMAB	chembl:CHEMBL2108431	ChemblDrugs
chembl:CHEMBL15770	SULINDAC	chembl:CHEMBL15770	ChemblDrugs
chembl:CHEMBL105060	DNK333	chembl:CHEMBL105060	ChemblDrugs
allopurinol	ALLOPURINOL	chembl:CHEMBL1467	PharmGKB
chembl:CHEMBL1908332	TUROSTERIDE	chembl:CHEMBL1908332	ChemblDrugs
PF-06342674			TTD
363894187			GuideToPharmacology
chembl:CHEMBL116548	CHEMBL116548	chembl:CHEMBL116548	ChemblDrugs
MF tricyclic			JAX-CKB
178103500			GuideToPharmacology
INTERLEUKIN-2 EXPRESSING PLASMID			TdgClinicalTrial
CILENGITIDE	CILENGITIDE	chembl:CHEMBL429876	TALC
252166893	CHEMBL493241	chembl:CHEMBL493241	GuideToPharmacology
381118801			GuideToPharmacology
Ibuprofen	IBUPROFEN	chembl:CHEMBL521	JAX-CKB
4-aryl quinol derivative 4			TTD
chembl:CHEMBL599304	CHEMBL599304	chembl:CHEMBL599304	ChemblDrugs
TCMDC-124355	CHEMBL531401	chembl:CHEMBL531401	DTC
DOLASETRON	DOLASETRON	chembl:CHEMBL2368925	TEND
ILOPERIDONE	ILOPERIDONE	chembl:CHEMBL14376	TEND
Ketoconazole	KETOCONAZOLE	chembl:CHEMBL157101	TTD
PMID27998201-Compound-24			TTD
LIMONIN	LIMONIN	chembl:CHEMBL517449	DTC
BNC-105			TTD
Entrectinib	ENTRECTINIB	chembl:CHEMBL1983268	JAX-CKB
LASOFOXIFENE	LASOFOXIFENE	chembl:CHEMBL328190	TdgClinicalTrial
Resorcinol compound 26			TTD
chembl:CHEMBL458602	CHEMBL458602	chembl:CHEMBL458602	ChemblDrugs
chembl:CHEMBL25843	REMACEMIDE	chembl:CHEMBL25843	ChemblDrugs
DEOXYCYTIDINE	DEOXYCYTIDINE	chembl:CHEMBL66115	NCI
Marinol	MARINOL	wikidata:Q47521803	TTD
DNDI1417006	CHEMBL1415258	chembl:CHEMBL1415258	DTC
chembl:CHEMBL2111097	LEVAMLODIPINE	chembl:CHEMBL2111097	ChemblDrugs
chembl:CHEMBL586163	CHEMBL586163	chembl:CHEMBL586163	ChemblDrugs
IMIDOCARB DIPROPIONATE	IMIDOCARB DIPROPIONATE	chembl:CHEMBL1315701	DTC
135650132			GuideToPharmacology
PMID28621580-Compound-WO2013112959C68			TTD
chembl:CHEMBL321691	ETHYLISOTHIOUREA	chembl:CHEMBL321691	ChemblDrugs
FLUOXETINE	FLUOXETINE	chembl:CHEMBL41	TEND
Resorcinol compound 5			TTD
chembl:CHEMBL2071606	CYPATE	chembl:CHEMBL2071606	ChemblDrugs
178100651			GuideToPharmacology
178102444			GuideToPharmacology
DB00382	TACRINE	chembl:CHEMBL95	DrugBank
GUTTIFERONE K	GUTTIFERONE K	chembl:CHEMBL388529	DTC
CHEMBL3545388	SERIDOPIDINE	chembl:CHEMBL3545388	ChemblInteractions
chembl:CHEMBL1200509	HISTRELIN ACETATE	chembl:CHEMBL1200509	ChemblDrugs
chembl:CHEMBL1200690	LYPRESSIN	chembl:CHEMBL1200690	ChemblDrugs
chembl:CHEMBL1241855	RIGOSERTIB	chembl:CHEMBL1241855	ChemblDrugs
chembl:CHEMBL366312	CHEMBL366312	chembl:CHEMBL366312	ChemblDrugs
chembl:CHEMBL2437367	LICOAGRONE	chembl:CHEMBL2437367	ChemblDrugs
Antibodie derivative 2			TTD
AGN-214868	SENREBOTASE	chembl:CHEMBL3137348	TdgClinicalTrial
178102803			GuideToPharmacology
DNDI1416975	CHEMBL1415851	chembl:CHEMBL1415851	DTC
Indandione derivative 2			TTD
IPILIMUMAB	IPILIMUMAB	chembl:CHEMBL1789844	TALC
135651001			GuideToPharmacology
DB02148	O-BENZYL-L-SERINE	chembl:CHEMBL1235900	DrugBank
DB07853			DrugBank
chembl:CHEMBL83747	PSAMMAPLIN A	chembl:CHEMBL83747	ChemblDrugs
D-ALANINE	D-ALANINE	chembl:CHEMBL66693	DTC
MBG453			TTD
Rituximab	RITUXIMAB	chembl:CHEMBL1201576	FDA
SIMVASTATIN	SIMVASTATIN	chembl:CHEMBL1064	TdgClinicalTrial
CAR-T cells targeting CD123			TTD
chembl:CHEMBL796	METHYLPHENIDATE	chembl:CHEMBL796	ChemblDrugs
CAR-T Cells targeting EGFRvIII			TTD
TERBUTALINE	TERBUTALINE	chembl:CHEMBL1760	TEND
ENDOTHELIN RECEPTOR ANTAGONIST			NCI
DNDI1416985	CHEMBL593211	chembl:CHEMBL593211	DTC
chembl:CHEMBL4297320	PL-3994	chembl:CHEMBL4297320	ChemblDrugs
DB05390			DrugBank
chembl:CHEMBL1098737	CHEMBL1098737	chembl:CHEMBL1098737	ChemblDrugs
chembl:CHEMBL812	PYRIDOSTIGMINE BROMIDE	chembl:CHEMBL812	ChemblDrugs
INCB13739			TdgClinicalTrial
SEMAXANIB	SEMAXANIB	chembl:CHEMBL276711	DTC
HSP90 inhibitor			CGI
chembl:CHEMBL1237	LISINOPRIL	chembl:CHEMBL1237	ChemblDrugs
chembl:CHEMBL3545151	CC-223	chembl:CHEMBL3545151	ChemblDrugs
UM-164			JAX-CKB
178101016			GuideToPharmacology
chembl:CHEMBL78794	CHEMBL78794	chembl:CHEMBL78794	ChemblDrugs
LIOTHYRONINE	LIOTHYRONINE	chembl:CHEMBL1544	DTC
1372540-25-4	GSK-2636771	chembl:CHEMBL3188551	MyCancerGenomeClinicalTrial
Anti-hCD70 CAR transduced PBL			TTD
DB09141	PROTAMINE SULFATE	chembl:CHEMBL1201651	DrugBank
chembl:CHEMBL207986	CHEMBL207986	chembl:CHEMBL207986	ChemblDrugs
ACETOSIDE	ACETOSIDE	chembl:CHEMBL444478	DTC
DB03575	PHENCYCLIDINE	chembl:CHEMBL275528	DrugBank
ACETYLSALICYLIC ACID			NCI
chembl:CHEMBL1968603	TILNOPROFEN ARBAMEL	chembl:CHEMBL1968603	ChemblDrugs
KANZONOL X	KANZONOL X	chembl:CHEMBL606241	DTC
GW-695634			TTD
FLUOXYMESTERONE	FLUOXYMESTERONE	chembl:CHEMBL1445	TEND
SSR240600			TTD
(R)-ALPHA-METHYLHISTAMINE	CHEMBL268229	chembl:CHEMBL268229	DTC
CHEMBL3545005	PLX-8394	chembl:CHEMBL3545005	ChemblInteractions
DB07791			DrugBank
Five membered heterocyclic benzamide derivative 1			TTD
AFAMELANOTIDE	AFAMELANOTIDE	chembl:CHEMBL441738	TdgClinicalTrial
chembl:CHEMBL157258	CHEMBL157258	chembl:CHEMBL157258	ChemblDrugs
PMID29671355-Compound-16			TTD
chembl:CHEMBL1161681	NITROUS ACID	chembl:CHEMBL1161681	ChemblDrugs
Docarpamine	DOCARPAMINE	chembl:CHEMBL2106351	TTD
chembl:CHEMBL1275868	AZELNIDIPINE	chembl:CHEMBL1275868	ChemblDrugs
chembl:CHEMBL2109128	LENOGRASTIM	chembl:CHEMBL2109128	ChemblDrugs
5-HYDROXYINDOLACETIC ACID	CHEMBL395915	chembl:CHEMBL395915	DTC
chembl:CHEMBL128729	CHEMBL128729	chembl:CHEMBL128729	ChemblDrugs
178100430			GuideToPharmacology
SS1(DSFV)-PE38			TdgClinicalTrial
CHEMBL3545030	JNJ-17216498	chembl:CHEMBL3545030	ChemblInteractions
KHK2455			TTD
CHLORDIAZEPOXIDE	CHLORDIAZEPOXIDE	chembl:CHEMBL451	TdgClinicalTrial
336446908			GuideToPharmacology
chembl:CHEMBL611940	CHEMBL611940	chembl:CHEMBL611940	ChemblDrugs
TRIFLUOROMETHANESULFONAMIDE	TRIFLUOROMETHANESULFONAMIDE	chembl:CHEMBL67511	DTC
TAK-441	TAK-441	chembl:CHEMBL2205230	TTD
chembl:CHEMBL16751	CHEMBL16751	chembl:CHEMBL16751	ChemblDrugs
chembl:CHEMBL1374986	BISSALICYL FUMARATE	chembl:CHEMBL1374986	ChemblDrugs
GNF-PF-1083	CHEMBL530361	chembl:CHEMBL530361	DTC
chembl:CHEMBL4297868	RECOMBINANT HUMAN LECITHIN:CHOLESTEROL ACYLTRANSFERASE	chembl:CHEMBL4297868	ChemblDrugs
chembl:CHEMBL1240	PROPANTHELINE BROMIDE	chembl:CHEMBL1240	ChemblDrugs
ASP3026	ASP-3026	chembl:CHEMBL3545360	TTD
AC1MOZOL			TTD
Malathion	MALATHION	chembl:CHEMBL1200468	TTD
GW642125X	GW642125X	chembl:CHEMBL196022	DTC
CHEMBL185	FLUOROURACIL	chembl:CHEMBL185	ChemblInteractions
Heterocyclic-tetracyclic tetrahydrofuran derivative 1			TTD
Muc1-specific gene-engineered T cells			TTD
wikidata:Q20817118	HISTAMINE PHOSPHATE	wikidata:Q20817118	Wikidata
DB08891	ARBACLOFEN	chembl:CHEMBL301742	DrugBank
BIIB 028			TTD
CYANIDIN	CYANIDIN	chembl:CHEMBL404515	DTC
CART-19/BCMA			TTD
Amitriptyline	AMITRIPTYLINE	chembl:CHEMBL629	TTD
chembl:CHEMBL2107857	METRELEPTIN	chembl:CHEMBL2107857	ChemblDrugs
R547			JAX-CKB
381118828			GuideToPharmacology
DB03753			DrugBank
OXCARBAZEPINE	OXCARBAZEPINE	chembl:CHEMBL1068	DTC
CETUXIMAB	CETUXIMAB	chembl:CHEMBL1201577	NCI
DB06503			DrugBank
chembl:CHEMBL1256752	FLUPIRTINE MALEATE	chembl:CHEMBL1256752	ChemblDrugs
AJM-300			TTD
SYN004			TTD
NSC-91340	CHEMBL1376091	chembl:CHEMBL1376091	DTC
chembl:CHEMBL4297710	BRENTUXIMAB	chembl:CHEMBL4297710	ChemblDrugs
Tetra-hydro-naphthalene derivative 2			TTD
Niraparib Tosylate			TTD
GUTHION	GUTHION	chembl:CHEMBL530115	DTC
TRIMETHYL-OCTADECYL-AMMONIUM CHLORIDE	TRIMETHYL-OCTADECYL-AMMONIUM CHLORIDE	chembl:CHEMBL118745	DTC
Prednisolone	PREDNISOLONE	chembl:CHEMBL131	TTD
CGP-28014			TTD
chembl:CHEMBL1231	OXYBUTYNIN	chembl:CHEMBL1231	ChemblDrugs
RISPERIDONE	RISPERIDONE	chembl:CHEMBL85	TEND
PF-06444752			TTD
336446910			GuideToPharmacology
RO-4929097	RG-4733	chembl:CHEMBL4297422	TTD
THIOTHIXENE HYDROCHLORIDE	THIOTHIXENE HYDROCHLORIDE	chembl:CHEMBL1200902	DTC
178102804			GuideToPharmacology
RAFAMETINIB			ClearityFoundationBiomarkers
chembl:CHEMBL600828	7-HYDROXY ARISTOLOCHIC A	chembl:CHEMBL600828	ChemblDrugs
chembl:CHEMBL1743007	DARATUMUMAB	chembl:CHEMBL1743007	ChemblDrugs
TENECTEPLASE	TENECTEPLASE	chembl:CHEMBL2108791	TEND
chembl:CHEMBL321944	CHEMBL321944	chembl:CHEMBL321944	ChemblDrugs
PMID27539678-Compound-4			TTD
Prasterone	PRASTERONE	chembl:CHEMBL90593	TTD
135650130			GuideToPharmacology
Tacrine-indole hybrid derivative 3			TTD
chembl:CHEMBL326294	ISATIN	chembl:CHEMBL326294	ChemblDrugs
PAZOPANIB	PAZOPANIB	chembl:CHEMBL477772	TALC
BGG-492	SELURAMPANEL	chembl:CHEMBL3545042	TdgClinicalTrial
PMID26651364-Compound-5			TTD
chembl:CHEMBL1738937	CHEMBL1738937	chembl:CHEMBL1738937	ChemblDrugs
MUT-056399			TTD
SE-(METHYL)SELENOCYSTEINE HCL	CHEMBL1256174	chembl:CHEMBL1256174	DTC
INCB18424			TdgClinicalTrial
chembl:CHEMBL675	ALENDRONATE SODIUM	chembl:CHEMBL675	ChemblDrugs
chembl:CHEMBL77305	RUBITECAN	chembl:CHEMBL77305	ChemblDrugs
PARTHENOLIDE	PARTHENOLIDE	chembl:CHEMBL540445	DTC
310264778			GuideToPharmacology
PMID28394193-Compound-45			TTD
chembl:CHEMBL558874	CHEMBL558874	chembl:CHEMBL558874	ChemblDrugs
MEDI-578	MEDI-578	chembl:CHEMBL2109527	TTD
GLP-1	GLP-1	chembl:CHEMBL1240772	TTD
178103622			GuideToPharmacology
chembl:CHEMBL483849	CHEMBL483849	chembl:CHEMBL483849	ChemblDrugs
178102247	ST1535	chembl:CHEMBL197669	GuideToPharmacology
Voclosporin	VOCLOSPORIN	chembl:CHEMBL2218919	TTD
ADENOVIRAL PDGF B			TdgClinicalTrial
Pacritinib	PACRITINIB	chembl:CHEMBL2035187	TTD
Enflurane	ENFLURANE	chembl:CHEMBL1257	TTD
chembl:CHEMBL360563	CHEMBL360563	chembl:CHEMBL360563	ChemblDrugs
chembl:CHEMBL1534035	CHEMBL1534035	chembl:CHEMBL1534035	ChemblDrugs
178103301			GuideToPharmacology
DB00377	PALONOSETRON	chembl:CHEMBL1189679	DrugBank
252827413			GuideToPharmacology
chembl:CHEMBL1607273	CETIRIZINE HYDROCHLORIDE	chembl:CHEMBL1607273	ChemblDrugs
chembl:CHEMBL245049	CHEMBL245049	chembl:CHEMBL245049	ChemblDrugs
chembl:CHEMBL473773	CHEMBL473773	chembl:CHEMBL473773	ChemblDrugs
IB-MECA	IB-MECA	chembl:CHEMBL119709	TTD
ORLISTAT	ORLISTAT	chembl:CHEMBL175247	TdgClinicalTrial
chembl:CHEMBL1201668	NESIRITIDE	chembl:CHEMBL1201668	ChemblDrugs
PMID29649907-Compound-27			TTD
9-NITRO-ANTHRACENE	CHEMBL166112	chembl:CHEMBL166112	DTC
Decitabine	DECITABINE	chembl:CHEMBL1201129	CGI
Octreotide	OCTREOTIDE	chembl:CHEMBL1680	CGI
TIVOZANIB	TIVOZANIB	chembl:CHEMBL1289494	DTC
POMALIDOMIDE	POMALIDOMIDE	chembl:CHEMBL43452	CIViC
chembl:CHEMBL1287980	CHEMBL1287980	chembl:CHEMBL1287980	ChemblDrugs
DB02673	CHEMBL490866	chembl:CHEMBL490866	DrugBank
NITRAZEPAM	NITRAZEPAM	chembl:CHEMBL13209	TEND
SANSALVAMIDE A-AMIDE	CHEMBL192264	chembl:CHEMBL192264	DTC
CHEMBL3545177	AZD-0424	chembl:CHEMBL3545177	ChemblInteractions
CHEMBL1690	HYDROXYCHLOROQUINE SULFATE	chembl:CHEMBL1690	ChemblInteractions
CAR-T cells targeting CD22			TTD
PMID29671355-Compound-12			TTD
