entrez_gene_symbol	gene_long_name	category_sources	category
EHMT1	EUCHROMATIC HISTONE LYSINE METHYLTRANSFERASE 1	HingoraniCasas	DRUGGABLE GENOME
CCL5	C-C MOTIF CHEMOKINE LIGAND 5	Pharos	ENZYME
CCL5	C-C MOTIF CHEMOKINE LIGAND 5	Pharos	KINASE
CCL5	C-C MOTIF CHEMOKINE LIGAND 5	GO	CELL SURFACE
CCL5	C-C MOTIF CHEMOKINE LIGAND 5	HingoraniCasas	DRUGGABLE GENOME
TRPM3	TRANSIENT RECEPTOR POTENTIAL CATION CHANNEL SUBFAMILY M MEMBER 3	Pharos,HopkinsGroom,BaderLabGenes,GuideToPharmacology	ION CHANNEL
TRPM3	TRANSIENT RECEPTOR POTENTIAL CATION CHANNEL SUBFAMILY M MEMBER 3	HopkinsGroom,RussLampel,HingoraniCasas	DRUGGABLE GENOME
NPC1L1	NPC1 LIKE INTRACELLULAR CHOLESTEROL TRANSPORTER 1	GuideToPharmacology,Pharos	TRANSPORTER
NPC1L1	NPC1 LIKE INTRACELLULAR CHOLESTEROL TRANSPORTER 1	GO	DRUG RESISTANCE
NPC1L1	NPC1 LIKE INTRACELLULAR CHOLESTEROL TRANSPORTER 1	HingoraniCasas	DRUGGABLE GENOME
ATG16L1	AUTOPHAGY RELATED 16 LIKE 1	HumanProteinAtlas	TRANSPORTER
MT-ND2	MTND2	Pharos,HumanProteinAtlas	ENZYME
STK4	SERINE/THREONINE KINASE 4	Pharos,HopkinsGroom,dGene	KINASE
STK4	SERINE/THREONINE KINASE 4	GO	TRANSCRIPTION FACTOR BINDING
STK4	SERINE/THREONINE KINASE 4	GO,dGene	SERINE THREONINE KINASE
STK4	SERINE/THREONINE KINASE 4	HumanProteinAtlas,GuideToPharmacology	ENZYME
STK4	SERINE/THREONINE KINASE 4	RussLampel,HopkinsGroom,HingoraniCasas	DRUGGABLE GENOME
UTS2	UROTENSIN 2	HingoraniCasas	DRUGGABLE GENOME
UTS2	UROTENSIN 2	GO	HORMONE ACTIVITY
FAM109A	FAMILY WITH SEQUENCE SIMILARITY 109 MEMBER A	Pharos	ENZYME
PEAK1	PSEUDOPODIUM ENRICHED ATYPICAL KINASE 1	dGene	SERINE THREONINE KINASE
PEAK1	PSEUDOPODIUM ENRICHED ATYPICAL KINASE 1	dGene,Pharos	KINASE
PEAK1	PSEUDOPODIUM ENRICHED ATYPICAL KINASE 1	RussLampel,HingoraniCasas	DRUGGABLE GENOME
PTH	PARATHYROID HORMONE	HingoraniCasas	DRUGGABLE GENOME
PTH	PARATHYROID HORMONE	GO	HORMONE ACTIVITY
PTH	PARATHYROID HORMONE	GO	DRUG RESISTANCE
SLC35B1	SOLUTE CARRIER FAMILY 35 MEMBER B1	GuideToPharmacology,Pharos	TRANSPORTER
MYB	MYB PROTO-ONCOGENE, TRANSCRIPTION FACTOR	FoundationOneGenes,CarisMolecularIntelligence,Oncomine,Tempus	CLINICALLY ACTIONABLE
SERPINB7	SERPIN FAMILY B MEMBER 7	dGene,HopkinsGroom	PROTEASE INHIBITOR
SERPINB7	SERPIN FAMILY B MEMBER 7	HopkinsGroom,RussLampel,HingoraniCasas	DRUGGABLE GENOME
CYP20A1	CYTOCHROME P450 FAMILY 20 SUBFAMILY A MEMBER 1	HopkinsGroom,RussLampel,HingoraniCasas	DRUGGABLE GENOME
CYP20A1	CYTOCHROME P450 FAMILY 20 SUBFAMILY A MEMBER 1	HopkinsGroom	CYTOCHROME P450
CYP20A1	CYTOCHROME P450 FAMILY 20 SUBFAMILY A MEMBER 1	Pharos,GuideToPharmacology	ENZYME
ENTPD6	ECTONUCLEOSIDE TRIPHOSPHATE DIPHOSPHOHYDROLASE 6 (PUTATIVE)	GO	CELL SURFACE
ENTPD6	ECTONUCLEOSIDE TRIPHOSPHATE DIPHOSPHOHYDROLASE 6 (PUTATIVE)	HingoraniCasas	DRUGGABLE GENOME
ABCC5	ATP BINDING CASSETTE SUBFAMILY C MEMBER 5	Pharos,GuideToPharmacology	TRANSPORTER
ABCC5	ATP BINDING CASSETTE SUBFAMILY C MEMBER 5	HingoraniCasas,RussLampel,HopkinsGroom	DRUGGABLE GENOME
ABCC5	ATP BINDING CASSETTE SUBFAMILY C MEMBER 5	GO,HopkinsGroom	ABC TRANSPORTER
KNDC1	KINASE NON-CATALYTIC C-LOBE DOMAIN CONTAINING 1	Pharos	KINASE
KMO	KYNURENINE 3-MONOOXYGENASE	RussLampel,HopkinsGroom,HingoraniCasas	DRUGGABLE GENOME
KMO	KYNURENINE 3-MONOOXYGENASE	GuideToPharmacology	ENZYME
PC	PYRUVATE CARBOXYLASE	FoundationOneGenes	CLINICALLY ACTIONABLE
PC	PYRUVATE CARBOXYLASE	Pharos,HumanProteinAtlas,GuideToPharmacology	ENZYME
PMPCA	PEPTIDASE, MITOCHONDRIAL PROCESSING ALPHA SUBUNIT	HopkinsGroom	NEUTRAL ZINC METALLOPEPTIDASE
PMPCA	PEPTIDASE, MITOCHONDRIAL PROCESSING ALPHA SUBUNIT	HopkinsGroom,RussLampel	DRUGGABLE GENOME
PMPCA	PEPTIDASE, MITOCHONDRIAL PROCESSING ALPHA SUBUNIT	dGene	PROTEASE
PMPCA	PEPTIDASE, MITOCHONDRIAL PROCESSING ALPHA SUBUNIT	HumanProteinAtlas	ENZYME
GCKR	GLUCOKINASE REGULATOR	Pharos	ENZYME
PAG1	PHOSPHOPROTEIN MEMBRANE ANCHOR WITH GLYCOSPHINGOLIPID MICRODOMAINS 1	FoundationOneGenes	CLINICALLY ACTIONABLE
PAG1	PHOSPHOPROTEIN MEMBRANE ANCHOR WITH GLYCOSPHINGOLIPID MICRODOMAINS 1	Pharos	KINASE
HTR3E	5-HYDROXYTRYPTAMINE RECEPTOR 3E	RussLampel,HopkinsGroom,HingoraniCasas	DRUGGABLE GENOME
HTR3E	5-HYDROXYTRYPTAMINE RECEPTOR 3E	Pharos,GuideToPharmacology,HopkinsGroom	ION CHANNEL
LIMD1	LIM DOMAINS CONTAINING 1	GO	TRANSCRIPTION FACTOR COMPLEX
TMED10	TRANSMEMBRANE P24 TRAFFICKING PROTEIN 10	Pharos	G PROTEIN COUPLED RECEPTOR
TMED10	TRANSMEMBRANE P24 TRAFFICKING PROTEIN 10	HingoraniCasas	DRUGGABLE GENOME
VAX1	VENTRAL ANTERIOR HOMEOBOX 1	Pharos	TRANSCRIPTION FACTOR
ANO5	ANOCTAMIN 5	HumanProteinAtlas	TRANSPORTER
CLPSL2	COLIPASE LIKE 2	HingoraniCasas	DRUGGABLE GENOME
OR5D14	OLFACTORY RECEPTOR FAMILY 5 SUBFAMILY D MEMBER 14	dGene,HopkinsGroom,GO,Pharos	G PROTEIN COUPLED RECEPTOR
OR5D14	OLFACTORY RECEPTOR FAMILY 5 SUBFAMILY D MEMBER 14	HopkinsGroom,RussLampel	DRUGGABLE GENOME
MPC1	MITOCHONDRIAL PYRUVATE CARRIER 1	HumanProteinAtlas,GuideToPharmacology	TRANSPORTER
P4HA1	PROLYL 4-HYDROXYLASE SUBUNIT ALPHA 1	Pharos	ENZYME
P4HA1	PROLYL 4-HYDROXYLASE SUBUNIT ALPHA 1	HingoraniCasas	DRUGGABLE GENOME
OR5AN1	OLFACTORY RECEPTOR FAMILY 5 SUBFAMILY AN MEMBER 1	GO,dGene,Pharos,HopkinsGroom	G PROTEIN COUPLED RECEPTOR
OR5AN1	OLFACTORY RECEPTOR FAMILY 5 SUBFAMILY AN MEMBER 1	RussLampel,HopkinsGroom	DRUGGABLE GENOME
EXTL2	EXOSTOSIN LIKE GLYCOSYLTRANSFERASE 2	HingoraniCasas	DRUGGABLE GENOME
ALAD	AMINOLEVULINATE DEHYDRATASE	GO	DRUG RESISTANCE
ALAD	AMINOLEVULINATE DEHYDRATASE	Pharos	ENZYME
JMJD1C	JUMONJI DOMAIN CONTAINING 1C	Pharos	TRANSCRIPTION FACTOR
JMJD1C	JUMONJI DOMAIN CONTAINING 1C	GuideToPharmacology	ENZYME
PADI1	PEPTIDYL ARGININE DEIMINASE 1	Pharos,GuideToPharmacology	ENZYME
PADI1	PEPTIDYL ARGININE DEIMINASE 1	HingoraniCasas	DRUGGABLE GENOME
COQ4	COENZYME Q4	Pharos	ENZYME
TRDMT1	TRNA ASPARTIC ACID METHYLTRANSFERASE 1	Pharos	ENZYME
NIPA1	NON IMPRINTED IN PRADER-WILLI/ANGELMAN SYNDROME 1	HumanProteinAtlas,GuideToPharmacology,Pharos	TRANSPORTER
CD68	CD68 MOLECULE	HingoraniCasas	DRUGGABLE GENOME
CAV3	CAVEOLIN 3	HumanProteinAtlas	TRANSPORTER
CAV3	CAVEOLIN 3	GO	CELL SURFACE
